Train ID:,Line,Destination,Service Day,Departure Timing,Stations Stopped at En Route,Service Class
3809,NEC,Trenton,Weekday,AM,14,Local
3209,NJCL,Long Branch,Weekday,AM,16,Local
3813,NEC,Trenton,Weekday,AM,15,Local
3215,NJCL,Long Branch-BH,Weekday,AM,17,Local
3701,NEC,Jersey Avenue,Weekday,AM,6,Express
3503,NJCL,South Amboy,Weekday,AM,6,Express
3815,NEC,Trenton,Weekday,AM,13,Local
3217,NJCL,Long Branch,Weekday,AM,16,Local
3705,NEC,Jersey Avenue,Weekday,AM,4,Express
3817,NEC,Trenton,Weekday,AM,14,Local
3505,NJCL,South Amboy,Weekday,AM,5,Express
3221,NJCL,Long Branch-BH,Weekday,AM,26,Local
3821,NEC,Trenton,Weekday,AM,13,Local
3709,NEC,Jersey Avenue,Weekday,AM,7,Express
3223,NJCL,Long Branch-BH,Weekday,AM,25,Local
3823,NEC,Trenton,Weekday,AM,12,Semi-Local
3713,NEC,Jersey Avenue,Weekday,AM,9,Semi-Local
3825,NEC,Trenton,Weekday,AM,14,Local
3827,NEC,Trenton,Weekday,AM,14,Local
3915,NEC,Trenton,Weekday,AM,11,Semi-Local
3227,NJCL,Long Branch,Weekday,AM,15,Local
3917,NEC,Trenton,Weekday,AM,7,Express
3829,NEC,Trenton,Weekday,AM,13,Local
3831,NEC,Trenton,Weekday,AM,15,Local
3231,NJCL,Long Branch-BH,Weekday,AM,25,Local
3833,NEC,Trenton,Weekday,AM,13,Local
3835,NEC,Trenton,Weekday,AM,14,Local
3235,NJCL,Long Branch-BH,Weekday,AM,25,Local
3837,NEC,Trenton,Weekday,AM,14,Local
3839,NEC,Trenton,Weekday,AM,14,Local
3239,NJCL,Long Branch,Weekday,AM,17,Local
3841,NEC,Trenton,Weekday,PM,15,Local
3843,NEC,Trenton,Weekday,PM,14,Local
3243,NJCL,Long Branch-BH,Weekday,PM,25,Local
3845,NEC,Trenton,Weekday,PM,14,Local
8245,NJCL,Long Branch,Weekday Extra,PM,13,Semi-Local
3847,NEC,Trenton,Weekday,PM,15,Local
3247,NJCL,Long Branch,Weekday,PM,14,Semi-Local
8849,NEC,Trenton,Weekday Extra,PM,7,Express
3849,NEC,Trenton,Weekday,PM,14,Local
8851,NEC,Trenton,Weekday Extra,PM,8,Express
3719,NEC,Jersey Avenue,Weekday,PM,12,Local
8249,NJCL,Long Branch,Weekday Extra,PM,12,Express
3251,NJCL,Long Branch-BH,Weekday,PM,22,Semi-Local
3937,NEC,Trenton,Weekday,PM,7,Express
3753,NJCL,Jersey Avenue,Weekday,PM,11,Local
8353,NJCL,Bay Head,Weekday Extra,PM,20,Express
8855,NEC,Trenton,Weekday Extra,PM,5,Super-Express
3509,NJCL,South Amboy,Weekday,PM,11,Local
3855,NEC,Trenton,Weekday,PM,10,Express
3857,NEC,Trenton,Weekday,PM,12,Local
3255,NJCL,Long Branch-BH,Weekday,PM,18,Express
3721,NEC,Jersey Avenue,Weekday,PM,8,Express
3595,NJCL,South Amboy,Weekday,PM,11,Local
3943,NEC,Trenton,Weekday,PM,5,Super-Express
3723,NEC,Jersey Avenue,Weekday,PM,7,Express
3361,NJCL,Bay Head,Weekday,PM,21,Express
