Train ID:,Line,Destination,Service Day,Departure Timing,Stations Stopped at En Route,Service Class,Expected Travel Time En Route (Mins),Distance Covered (Miles)
6305,M&E,Summit,Weekday,AM,6,Express,44,22.7
6307,M&E,Summit,Weekday,AM,9,Semi-Local,50,22.7
6607,M&E,Dover,Weekday,AM,17,Semi-Local,88,43.1
6611,M&E,Dover,Weekday,AM,16,Semi-Local,88,43.1
6613,M&E,Dover,Weekday,AM,19,Local,93,43.1
6315,M&E,Summit,Weekday,AM,9,Semi-Local,51,22.7
6617,M&E,Dover,Weekday,AM,13,Express,85,43.1
6317,M&E,Summit,Weekday,AM,9,Semi-Local,46,22.7
6619,M&E,Dover,Weekday,AM,17,Semi-Local,90,43.1
6621,M&E,Dover,Weekday,AM,16,Semi-Local,87,43.1
6625,M&E,Dover,Weekday,AM,16,Semi-Local,89,43.1
6627,M&E,Dover,Weekday,PM,16,Semi-Local,89,43.1
6631,M&E,Dover,Weekday,PM,17,Semi-Local,94,43.1
8935,M&E,Dover,Weekday Extra,PM,15,Semi-Local,91,43.1
6635,M&E,Dover,Weekday,PM,18,Local,93,43.1
6339,M&E,Summit,Weekday,PM,7,Express,45,22.7
6639,M&E,Dover,Weekday,PM,10,Express,74,43.1
6341,M&E,Summit,Weekday,PM,10,Local,49,22.7
8941,M&E,Dover,Weekday Extra,PM,11,Express,81,43.1
6641,M&E,Dover,Weekday,PM,10,Express,75,43.1
6343,M&E,Summit,Weekday,PM,10,Local,49,22.7
6643,M&E,Dover,Weekday,PM,11,Express,81,43.1
6647,M&E,Dover,Weekday,PM,11,Express,83,43.1
6431,M&E,Gladstone,Weekday,PM,16,Express,97,45
6651,M&E,Dover,Weekday,PM,13,Express,88,43.1
6653,M&E,Dover,Weekday,PM,10,Express,74,43.1
6437,M&E,Gladstone,Weekday,PM,15,Express,93,45
6355,M&E,Summit,Weekday,PM,8,Express,49,22.7
6655,M&E,Dover,Weekday,PM,10,Express,84,43.1
6359,M&E,Summit,Weekday,PM,8,Express,51,22.7
6659,M&E,Dover,Weekday,PM,10,Express,83,43.1
6363,M&E,Summit,Weekday,PM,7,Express,49,22.7
6663,M&E,Dover,Weekday,PM,11,Express,78,43.1
6667,M&E,Dover,Weekday,PM,15,Semi-Local,90,43.1
6671,M&E,Dover,Weekday,PM,17,Semi-Local,92,43.1
6675,M&E,Dover,Weekday,PM,16,Semi-Local,91,43.1
6677,M&E,Dover,Weekday,PM,20,Semi-Local,92,43.1
6679,M&E,Dover,Weekday,PM,16,Semi-Local,91,43.1
6683,M&E,Dover,Weekday,Late Night,17,Semi-Local,94,43.1
6601,M&E,Dover,Weekday,Late Night,19,Local,94,43.1
