Train ID:,Line,Destination,Service Day,Departure Timing,Stations Stopped at En Route,Service Class,Expected Travel Time En Route (Mins),Distance Covered (Miles),Configuration Direction,Expected Average Speed En Route (mph),Expected Average Acceleration En Route
6305,M&E,Summit,Weekday,AM,6,Express,44,22.7,R,30.95454545454545,6.901456611570248
6307,M&E,Summit,Weekday,AM,9,Semi-Local,50,22.7,R,27.24,5.344488
6607,M&E,Dover,Weekday,AM,17,Semi-Local,88,43.1,W,29.38636363636364,3.275911673553719
6611,M&E,Dover,Weekday,AM,16,Semi-Local,88,43.1,W,29.38636363636364,3.275911673553719
6613,M&E,Dover,Weekday,AM,19,Local,93,43.1,R,27.80645161290322,2.933132154006243
6315,M&E,Summit,Weekday,AM,9,Semi-Local,51,22.7,R,26.70588235294117,5.136955017301038
6617,M&E,Dover,Weekday,AM,13,Express,85,43.1,R,30.42352941176471,3.51123321799308
6317,M&E,Summit,Weekday,AM,9,Semi-Local,46,22.7,R,29.60869565217391,6.31437618147448
6619,M&E,Dover,Weekday,AM,17,Semi-Local,90,43.1,W,28.73333333333333,3.131933333333333
6621,M&E,Dover,Weekday,AM,16,Semi-Local,87,43.1,R,29.72413793103448,3.351652794292509
6625,M&E,Dover,Weekday,AM,16,Semi-Local,89,43.1,R,29.0561797752809,3.202709253882086
6627,M&E,Dover,Weekday,PM,16,Semi-Local,89,43.1,W,29.0561797752809,3.202709253882086
6631,M&E,Dover,Weekday,PM,17,Semi-Local,94,43.1,R,27.51063829787234,2.871057039384337
8935,M&E,Dover,Weekday Extra,PM,15,Semi-Local,91,43.1,W,28.41758241758242,3.063477840840479
6635,M&E,Dover,Weekday,PM,18,Local,93,43.1,R,27.80645161290322,2.933132154006243
6339,M&E,Summit,Weekday,PM,7,Express,45,22.7,W,30.26666666666667,6.598133333333334
6639,M&E,Dover,Weekday,PM,10,Express,74,43.1,W,34.94594594594595,4.632699050401754
6341,M&E,Summit,Weekday,PM,10,Local,49,22.7,R,27.79591836734694,5.564856309870888
8941,M&E,Dover,Weekday Extra,PM,11,Express,81,43.1,R,31.92592592592593,3.866584362139919
6641,M&E,Dover,Weekday,PM,10,Express,75,43.1,W,34.48,4.509983999999999
6343,M&E,Summit,Weekday,PM,10,Local,49,22.7,R,27.79591836734694,5.564856309870888
6643,M&E,Dover,Weekday,PM,11,Express,81,43.1,R,31.92592592592593,3.866584362139919
