Train ID:,Line,Destination,Service Day,Departure Timing,Stations Stopped at En Route,Service Class,Expected Travel Time Range (Mins),Distance Covered (Miles)
6305,M&E,Summit,Weekday,AM,6,Express,46-50,21-25
6307,M&E,Summit,Weekday,AM,9,Semi-Local,46-50,21-25
6607,M&E,Dover,Weekday,AM,17,Semi-Local,86-90,41-45
6611,M&E,Dover,Weekday,AM,16,Semi-Local,86-90,41-45
6613,M&E,Dover,Weekday,AM,19,Local,91-95,41-45
6315,M&E,Summit,Weekday,AM,9,Semi-Local,51-55,21-25
6617,M&E,Dover,Weekday,AM,13,Express,81-85,41-45
6317,M&E,Summit,Weekday,AM,9,Semi-Local,46-50,21-25
6619,M&E,Dover,Weekday,AM,17,Semi-Local,86-90,41-45
6621,M&E,Dover,Weekday,AM,16,Semi-Local,86-90,41-45
6625,M&E,Dover,Weekday,AM,16,Semi-Local,86-90,41-45
6627,M&E,Dover,Weekday,PM,16,Semi-Local,86-90,41-45
6631,M&E,Dover,Weekday,PM,17,Semi-Local,91-95,41-45
8935,M&E,Dover,Weekday Extra,PM,15,Semi-Local,91-95,41-45
6635,M&E,Dover,Weekday,PM,18,Local,91-95,41-45
6339,M&E,Summit,Weekday,PM,7,Express,41-45,21-25
6639,M&E,Dover,Weekday,PM,10,Express,71-75,41-45
6341,M&E,Summit,Weekday,PM,10,Local,46-50,21-25
8941,M&E,Dover,Weekday Extra,PM,11,Express,81-85,41-45
6641,M&E,Dover,Weekday,PM,10,Express,71-75,41-45
6343,M&E,Summit,Weekday,PM,10,Local,46-50,21-25
6643,M&E,Dover,Weekday,PM,11,Express,81-85,41-45
6647,M&E,Dover,Weekday,PM,11,Express,81-85,41-45
6431,M&E,Gladstone,Weekday,PM,16,Express,96-100,41-45
6651,M&E,Dover,Weekday,PM,13,Express,86-90,41-45
6653,M&E,Dover,Weekday,PM,10,Express,81-85,41-45
6437,M&E,Gladstone,Weekday,PM,15,Express,91-95,41-45
6355,M&E,Summit,Weekday,PM,8,Express,46-50,21-25
